Date,Day,Time,Speed,Direction
2020.08.08,Saturday,14:13,93,2
2020.08.08,Saturday,14:13,92,1
2020.08.08,Saturday,14:13,101,1
2020.08.08,Saturday,14:13,93,1
2020.08.08,Saturday,14:14,68,2
2020.08.08,Saturday,14:14,72,1
2020.08.08,Saturday,14:14,97,1
2020.08.08,Saturday,14:14,75,1
2020.08.08,Saturday,14:15,73,2
2020.08.08,Saturday,14:16,60,1
2020.08.08,Saturday,14:16,37,2
2020.08.08,Saturday,14:16,104,2
2020.08.08,Saturday,14:16,85,1
2020.08.08,Saturday,14:17,78,1
2020.08.08,Saturday,14:17,47,2
2020.08.08,Saturday,14:17,65,2
2020.08.08,Saturday,14:17,75,1
2020.08.08,Saturday,14:17,93,1
2020.08.08,Saturday,14:18,96,1
2020.08.08,Saturday,14:18,97,1
2020.08.08,Saturday,14:19,125,1
2020.08.08,Saturday,14:19,135,1
2020.08.08,Saturday,14:19,63,2
2020.08.08,Saturday,14:19,87,1
2020.08.08,Saturday,14:19,86,1
2020.08.08,Saturday,14:19,95,1
2020.08.08,Saturday,14:19,48,2
2020.08.08,Saturday,14:20,82,2
2020.08.08,Saturday,14:20,87,1
2020.08.08,Saturday,14:22,95,1
2020.08.08,Saturday,14:22,64,2
2020.08.08,Saturday,14:22,78,2
2020.08.08,Saturday,14:22,55,1
2020.08.08,Saturday,14:23,84,1
2020.08.08,Saturday,14:23,55,2
2020.08.08,Saturday,14:24,81,1
2020.08.08,Saturday,14:24,40,2
2020.08.08,Saturday,14:24,118,1
2020.08.08,Saturday,14:24,122,1
2020.08.08,Saturday,14:25,54,2
2020.08.08,Saturday,14:25,123,1
2020.08.08,Saturday,14:25,79,1
2020.08.08,Saturday,14:26,67,2
2020.08.08,Saturday,14:26,81,1
2020.08.08,Saturday,14:26,89,1
2020.08.08,Saturday,14:26,91,1
2020.08.08,Saturday,14:27,102,1
2020.08.08,Saturday,14:27,64,2
2020.08.08,Saturday,14:27,83,2
2020.08.08,Saturday,14:28,71,2
2020.08.08,Saturday,14:28,55,2
2020.08.08,Saturday,14:29,18,2
2020.08.08,Saturday,14:29,72,2
2020.08.08,Saturday,14:29,99,1
2020.08.08,Saturday,14:29,81,2
2020.08.08,Saturday,14:30,113,2
2020.08.08,Saturday,14:30,118,2
2020.08.08,Saturday,14:30,92,1
2020.08.08,Saturday,14:30,46,2
2020.08.08,Saturday,14:31,50,2
2020.08.08,Saturday,14:31,83,2
2020.08.08,Saturday,14:32,91,1
2020.08.08,Saturday,14:32,52,1
2020.08.08,Saturday,14:32,91,2
2020.08.08,Saturday,14:32,110,1
2020.08.08,Saturday,14:32,97,1
2020.08.08,Saturday,14:32,76,1
2020.08.08,Saturday,14:32,76,2
2020.08.08,Saturday,14:32,89,1
2020.08.08,Saturday,14:33,97,1
2020.08.08,Saturday,14:33,60,2
2020.08.08,Saturday,14:34,88,1
2020.08.08,Saturday,14:34,67,1
2020.08.08,Saturday,14:34,66,1
2020.08.08,Saturday,14:34,64,1
2020.08.08,Saturday,14:34,83,1
2020.08.08,Saturday,14:35,105,1
2020.08.08,Saturday,14:35,109,1
2020.08.08,Saturday,14:35,64,2
2020.08.08,Saturday,14:35,100,1
2020.08.08,Saturday,14:36,95,1
2020.08.08,Saturday,14:36,99,1
2020.08.08,Saturday,14:36,58,1
2020.08.08,Saturday,14:36,75,1
2020.08.08,Saturday,14:36,53,1
2020.08.08,Saturday,14:36,65,2
2020.08.08,Saturday,14:37,61,2
2020.08.08,Saturday,14:37,60,2
2020.08.08,Saturday,14:38,79,1
2020.08.08,Saturday,14:38,88,1
2020.08.08,Saturday,14:39,123,1
2020.08.08,Saturday,14:39,77,2
2020.08.08,Saturday,14:39,70,2
2020.08.08,Saturday,14:39,77,1
2020.08.08,Saturday,14:39,69,1
2020.08.08,Saturday,14:40,79,2
2020.08.08,Saturday,14:40,82,2
2020.08.08,Saturday,14:41,94,1
2020.08.08,Saturday,14:41,101,1
2020.08.08,Saturday,14:42,72,2
2020.08.08,Saturday,14:42,71,2
2020.08.08,Saturday,14:42,67,2
2020.08.08,Saturday,14:42,24,2
2020.08.08,Saturday,14:43,78,2
2020.08.08,Saturday,14:43,70,2
2020.08.08,Saturday,14:43,85,1
2020.08.08,Saturday,14:43,76,2
2020.08.08,Saturday,14:44,55,2
2020.08.08,Saturday,14:44,91,1
2020.08.08,Saturday,14:45,57,1
2020.08.08,Saturday,14:45,84,1
2020.08.08,Saturday,14:46,78,2
2020.08.08,Saturday,14:46,106,1
2020.08.08,Saturday,14:46,108,1
2020.08.08,Saturday,14:47,89,1
2020.08.08,Saturday,14:47,101,1
2020.08.08,Saturday,14:48,80,1
2020.08.08,Saturday,14:48,91,2
2020.08.08,Saturday,14:48,94,1
2020.08.08,Saturday,14:49,93,1
2020.08.08,Saturday,14:49,87,1
2020.08.08,Saturday,14:49,74,1
2020.08.08,Saturday,14:49,86,1
2020.08.08,Saturday,14:49,79,2
2020.08.08,Saturday,14:49,73,2
2020.08.08,Saturday,14:50,108,1
2020.08.08,Saturday,14:50,89,1
2020.08.08,Saturday,14:51,63,2
2020.08.08,Saturday,14:51,108,1
2020.08.08,Saturday,14:52,121,2
2020.08.08,Saturday,14:52,91,1
2020.08.08,Saturday,14:52,104,1
2020.08.08,Saturday,14:52,78,1
2020.08.08,Saturday,14:53,80,1
2020.08.08,Saturday,14:53,78,2
2020.08.08,Saturday,14:53,74,1
2020.08.08,Saturday,14:54,113,1
2020.08.08,Saturday,14:54,108,2
2020.08.08,Saturday,14:55,80,2
2020.08.08,Saturday,14:55,94,2
2020.08.08,Saturday,14:55,94,1
2020.08.08,Saturday,14:55,93,1
2020.08.08,Saturday,14:55,79,1
2020.08.08,Saturday,14:56,69,2
2020.08.08,Saturday,14:56,70,2
2020.08.08,Saturday,14:56,63,2
2020.08.08,Saturday,14:57,74,2
2020.08.08,Saturday,14:57,62,1
2020.08.08,Saturday,14:57,91,1
2020.08.08,Saturday,14:57,79,1
2020.08.08,Saturday,14:57,74,2
2020.08.08,Saturday,14:57,102,1
2020.08.08,Saturday,14:58,91,1
2020.08.08,Saturday,14:58,112,1
2020.08.08,Saturday,14:58,119,1
2020.08.08,Saturday,14:58,10,2
2020.08.08,Saturday,14:59,66,2
2020.08.08,Saturday,14:59,80,1
2020.08.08,Saturday,14:59,77,2
2020.08.08,Saturday,14:59,101,1
2020.08.08,Saturday,15:01,74,2
2020.08.08,Saturday,15:01,71,2
2020.08.08,Saturday,15:01,137,1
2020.08.08,Saturday,15:02,77,1
2020.08.08,Saturday,15:02,123,2
2020.08.08,Saturday,15:02,95,1
2020.08.08,Saturday,15:03,70,2
2020.08.08,Saturday,15:03,92,1
2020.08.08,Saturday,15:03,79,2
2020.08.08,Saturday,15:04,72,2
2020.08.08,Saturday,15:04,89,2
2020.08.08,Saturday,15:04,94,1
2020.08.08,Saturday,15:04,70,2
2020.08.08,Saturday,15:05,92,1
2020.08.08,Saturday,15:05,83,2
2020.08.08,Saturday,15:05,50,1
2020.08.08,Saturday,15:05,99,2
2020.08.08,Saturday,15:06,87,1
2020.08.08,Saturday,15:06,51,2
2020.08.08,Saturday,15:06,64,2
2020.08.08,Saturday,15:06,57,2
2020.08.08,Saturday,15:06,60,2
2020.08.08,Saturday,15:06,109,1
2020.08.08,Saturday,15:06,76,2
2020.08.08,Saturday,15:07,69,2
2020.08.08,Saturday,15:07,75,2
2020.08.08,Saturday,15:07,65,2
2020.08.08,Saturday,15:07,10,2
2020.08.08,Saturday,15:08,110,1
2020.08.08,Saturday,15:08,92,2
2020.08.08,Saturday,15:08,57,2
2020.08.08,Saturday,15:09,78,1
2020.08.08,Saturday,15:09,65,2
2020.08.08,Saturday,15:10,96,1
2020.08.08,Saturday,15:10,148,2
2020.08.08,Saturday,15:10,66,2
2020.08.08,Saturday,15:10,77,2
2020.08.08,Saturday,15:10,78,2
2020.08.08,Saturday,15:10,156,1
2020.08.08,Saturday,15:10,67,2
2020.08.08,Saturday,15:11,75,2
2020.08.08,Saturday,15:11,112,1
2020.08.08,Saturday,15:11,77,1
2020.08.08,Saturday,15:11,82,1
2020.08.08,Saturday,15:12,73,2
2020.08.08,Saturday,15:12,124,1
2020.08.08,Saturday,15:12,118,1
2020.08.08,Saturday,15:12,92,1
2020.08.08,Saturday,15:12,72,2
2020.08.08,Saturday,15:12,68,2
2020.08.08,Saturday,15:13,71,2
2020.08.08,Saturday,15:13,65,2
2020.08.08,Saturday,15:13,121,1
2020.08.08,Saturday,15:13,73,2
2020.08.08,Saturday,15:13,119,1
2020.08.08,Saturday,15:13,71,2
2020.08.08,Saturday,15:14,66,1
2020.08.08,Saturday,15:14,81,1
2020.08.08,Saturday,15:14,72,2
2020.08.08,Saturday,15:14,71,1
2020.08.08,Saturday,15:14,88,1
2020.08.08,Saturday,15:14,83,2
2020.08.08,Saturday,15:14,99,2
2020.08.08,Saturday,15:15,111,1
2020.08.08,Saturday,15:15,68,2
2020.08.08,Saturday,15:15,84,1
2020.08.08,Saturday,15:15,106,1
2020.08.08,Saturday,15:15,104,1
2020.08.08,Saturday,15:15,65,2
2020.08.08,Saturday,15:15,76,2
2020.08.08,Saturday,15:16,89,1
2020.08.08,Saturday,15:16,75,1
2020.08.08,Saturday,15:16,94,1
2020.08.08,Saturday,15:16,66,1
2020.08.08,Saturday,15:16,57,2
2020.08.08,Saturday,15:16,73,2
2020.08.08,Saturday,15:16,66,1
2020.08.08,Saturday,15:16,92,1
2020.08.08,Saturday,15:17,86,1
2020.08.08,Saturday,15:17,114,1
2020.08.08,Saturday,15:17,77,2
2020.08.08,Saturday,15:17,84,1
2020.08.08,Saturday,15:18,87,1
2020.08.08,Saturday,15:18,78,1
2020.08.08,Saturday,15:18,79,2
2020.08.08,Saturday,15:18,87,1
2020.08.08,Saturday,15:18,102,1
2020.08.08,Saturday,15:18,101,1
2020.08.08,Saturday,15:18,86,2
2020.08.08,Saturday,15:18,97,1
2020.08.08,Saturday,15:19,134,1
2020.08.08,Saturday,15:19,67,2
2020.08.08,Saturday,15:19,78,2
2020.08.08,Saturday,15:19,87,1
