Date,Day,Time,Speed,Direction
2020.08.19,Wednesday,07:18,71,1
2020.08.19,Wednesday,07:19,88,1
2020.08.19,Wednesday,07:19,64,1
2020.08.19,Wednesday,07:19,94,2
2020.08.19,Wednesday,07:20,33,2
2020.08.19,Wednesday,07:21,125,1
2020.08.19,Wednesday,07:21,247,1
2020.08.19,Wednesday,07:21,101,1
2020.08.19,Wednesday,07:21,137,1
2020.08.19,Wednesday,07:22,65,2
2020.08.19,Wednesday,07:22,108,1
2020.08.19,Wednesday,07:22,58,1
2020.08.19,Wednesday,07:23,71,2
2020.08.19,Wednesday,07:23,37,2
2020.08.19,Wednesday,07:23,147,2
2020.08.19,Wednesday,07:24,60,2
2020.08.19,Wednesday,07:24,57,2
2020.08.19,Wednesday,07:24,85,1
2020.08.19,Wednesday,07:25,118,1
2020.08.19,Wednesday,07:25,87,2
2020.08.19,Wednesday,07:26,98,1
2020.08.19,Wednesday,07:26,86,1
2020.08.19,Wednesday,07:27,80,1
2020.08.19,Wednesday,07:27,106,1
2020.08.19,Wednesday,07:28,61,1
2020.08.19,Wednesday,07:28,102,1
2020.08.19,Wednesday,07:30,82,2
2020.08.19,Wednesday,07:31,109,1
2020.08.19,Wednesday,07:32,45,2
2020.08.19,Wednesday,07:32,72,2
2020.08.19,Wednesday,07:32,78,1
2020.08.19,Wednesday,07:32,77,2
2020.08.19,Wednesday,07:33,40,2
2020.08.19,Wednesday,07:34,140,1
2020.08.19,Wednesday,07:34,71,2
2020.08.19,Wednesday,07:34,71,2
2020.08.19,Wednesday,07:34,70,1
2020.08.19,Wednesday,07:35,131,2
2020.08.19,Wednesday,07:35,80,1
2020.08.19,Wednesday,07:35,213,1
2020.08.19,Wednesday,07:36,92,1
2020.08.19,Wednesday,07:37,60,2
2020.08.19,Wednesday,07:37,80,2
2020.08.19,Wednesday,07:38,84,1
2020.08.19,Wednesday,07:38,158,1
2020.08.19,Wednesday,07:38,68,2
2020.08.19,Wednesday,07:39,13,2
2020.08.19,Wednesday,07:40,133,1
2020.08.19,Wednesday,07:40,39,2
2020.08.19,Wednesday,07:40,78,2
2020.08.19,Wednesday,07:41,52,1
2020.08.19,Wednesday,07:41,91,1
2020.08.19,Wednesday,07:41,101,1
2020.08.19,Wednesday,07:41,86,1
2020.08.19,Wednesday,07:42,65,1
2020.08.19,Wednesday,07:42,42,2
2020.08.19,Wednesday,07:43,77,2
2020.08.19,Wednesday,07:43,104,1
2020.08.19,Wednesday,07:43,42,2
2020.08.19,Wednesday,07:43,81,2
2020.08.19,Wednesday,07:44,82,1
2020.08.19,Wednesday,07:44,34,2
2020.08.19,Wednesday,07:44,62,2
2020.08.19,Wednesday,07:45,74,1
2020.08.19,Wednesday,07:45,54,2
2020.08.19,Wednesday,07:45,78,2
2020.08.19,Wednesday,07:45,133,1
2020.08.19,Wednesday,07:45,43,2
2020.08.19,Wednesday,07:46,35,2
2020.08.19,Wednesday,07:46,42,2
2020.08.19,Wednesday,07:46,45,2
2020.08.19,Wednesday,07:46,72,2
2020.08.19,Wednesday,07:47,119,1
2020.08.19,Wednesday,07:47,81,1
2020.08.19,Wednesday,07:48,129,2
2020.08.19,Wednesday,07:48,43,2
2020.08.19,Wednesday,07:49,63,1
2020.08.19,Wednesday,07:49,78,2
2020.08.19,Wednesday,07:50,77,1
2020.08.19,Wednesday,07:50,74,2
2020.08.19,Wednesday,07:51,72,2
2020.08.19,Wednesday,07:51,53,2
2020.08.19,Wednesday,07:51,52,1
2020.08.19,Wednesday,07:51,126,2
2020.08.19,Wednesday,07:51,73,2
2020.08.19,Wednesday,07:52,111,1
2020.08.19,Wednesday,07:52,71,2
2020.08.19,Wednesday,07:52,118,1
2020.08.19,Wednesday,07:52,99,1
2020.08.19,Wednesday,07:52,75,2
2020.08.19,Wednesday,07:53,94,1
2020.08.19,Wednesday,07:53,52,1
2020.08.19,Wednesday,07:54,50,2
2020.08.19,Wednesday,07:54,52,1
2020.08.19,Wednesday,07:54,54,1
2020.08.19,Wednesday,07:54,62,2
2020.08.19,Wednesday,07:54,21,2
2020.08.19,Wednesday,07:56,60,1
2020.08.19,Wednesday,07:56,86,1
2020.08.19,Wednesday,07:56,76,1
2020.08.19,Wednesday,07:56,71,2
2020.08.19,Wednesday,07:57,72,2
2020.08.19,Wednesday,07:57,69,2
2020.08.19,Wednesday,07:57,91,2
2020.08.19,Wednesday,07:57,93,1
2020.08.19,Wednesday,07:58,91,1
2020.08.19,Wednesday,07:58,75,2
2020.08.19,Wednesday,07:58,41,2
2020.08.19,Wednesday,07:58,85,2
2020.08.19,Wednesday,07:59,68,2
2020.08.19,Wednesday,07:59,62,2
2020.08.19,Wednesday,07:59,123,1
2020.08.19,Wednesday,07:59,95,1
2020.08.19,Wednesday,07:59,80,2
2020.08.19,Wednesday,08:00,82,2
2020.08.19,Wednesday,08:01,86,1
2020.08.19,Wednesday,08:01,80,1
2020.08.19,Wednesday,08:01,109,2
2020.08.19,Wednesday,08:02,55,1
2020.08.19,Wednesday,08:02,55,2
2020.08.19,Wednesday,08:02,82,2
2020.08.19,Wednesday,08:03,94,1
2020.08.19,Wednesday,08:03,64,2
2020.08.19,Wednesday,08:03,75,1
2020.08.19,Wednesday,08:04,111,1
2020.08.19,Wednesday,08:04,102,1
2020.08.19,Wednesday,08:04,73,1
2020.08.19,Wednesday,08:04,73,2
2020.08.19,Wednesday,08:05,66,1
2020.08.19,Wednesday,08:05,71,2
2020.08.19,Wednesday,08:05,135,1
2020.08.19,Wednesday,08:05,116,1
2020.08.19,Wednesday,08:06,50,1
2020.08.19,Wednesday,08:06,127,1
2020.08.19,Wednesday,08:07,106,1
2020.08.19,Wednesday,08:07,94,1
2020.08.19,Wednesday,08:07,39,2
2020.08.19,Wednesday,08:08,127,1
2020.08.19,Wednesday,08:09,45,2
2020.08.19,Wednesday,08:09,78,1
2020.08.19,Wednesday,08:09,36,1
2020.08.19,Wednesday,08:10,80,1
2020.08.19,Wednesday,08:11,58,2
2020.08.19,Wednesday,08:11,71,1
2020.08.19,Wednesday,08:11,29,2
2020.08.19,Wednesday,08:12,88,1
2020.08.19,Wednesday,08:12,77,2
2020.08.19,Wednesday,08:12,95,1
2020.08.19,Wednesday,08:13,105,1
2020.08.19,Wednesday,08:13,50,1
2020.08.19,Wednesday,08:14,71,2
2020.08.19,Wednesday,08:15,72,2
2020.08.19,Wednesday,08:15,77,2
2020.08.19,Wednesday,08:15,103,1
2020.08.19,Wednesday,08:16,67,2
2020.08.19,Wednesday,08:16,121,1
2020.08.19,Wednesday,08:16,66,1
2020.08.19,Wednesday,08:16,87,2
2020.08.19,Wednesday,08:16,103,1
2020.08.19,Wednesday,08:16,100,1
2020.08.19,Wednesday,08:17,74,2
2020.08.19,Wednesday,08:17,67,2
2020.08.19,Wednesday,08:17,72,2
2020.08.19,Wednesday,08:17,47,2
2020.08.19,Wednesday,08:17,47,1
2020.08.19,Wednesday,08:17,117,1
2020.08.19,Wednesday,08:17,97,1
2020.08.19,Wednesday,08:18,54,2
2020.08.19,Wednesday,08:18,67,2
2020.08.19,Wednesday,08:18,123,2
2020.08.19,Wednesday,08:18,61,2
2020.08.19,Wednesday,08:18,77,2
2020.08.19,Wednesday,08:19,71,2
2020.08.19,Wednesday,08:19,58,1
2020.08.19,Wednesday,08:19,29,2
2020.08.19,Wednesday,08:20,92,1
2020.08.19,Wednesday,08:20,47,2
2020.08.19,Wednesday,08:20,87,2
2020.08.19,Wednesday,08:21,64,2
2020.08.19,Wednesday,08:21,79,2
2020.08.19,Wednesday,08:21,16,2
2020.08.19,Wednesday,08:22,65,2
2020.08.19,Wednesday,08:22,81,2
2020.08.19,Wednesday,08:22,111,1
2020.08.19,Wednesday,08:22,61,2
2020.08.19,Wednesday,08:22,59,2
2020.08.19,Wednesday,08:22,42,2
2020.08.19,Wednesday,08:22,58,2
2020.08.19,Wednesday,08:22,52,1
2020.08.19,Wednesday,08:22,65,2
2020.08.19,Wednesday,08:22,53,2
2020.08.19,Wednesday,08:23,72,2
