Date,Day,Time,Speed,Direction
2020.08.05,Wednesday,10:15,84,1
2020.08.05,Wednesday,10:15,71,2
2020.08.05,Wednesday,10:15,64,2
2020.08.05,Wednesday,10:15,71,2
2020.08.05,Wednesday,10:16,85,1
2020.08.05,Wednesday,10:16,39,2
2020.08.05,Wednesday,10:16,87,1
2020.08.05,Wednesday,10:16,98,1
2020.08.05,Wednesday,10:16,106,1
2020.08.05,Wednesday,10:16,85,2
2020.08.05,Wednesday,10:16,129,1
2020.08.05,Wednesday,10:16,138,1
2020.08.05,Wednesday,10:17,117,1
2020.08.05,Wednesday,10:17,85,1
2020.08.05,Wednesday,10:17,55,2
2020.08.05,Wednesday,10:17,54,2
2020.08.05,Wednesday,10:17,70,2
2020.08.05,Wednesday,10:17,54,2
2020.08.05,Wednesday,10:17,71,2
2020.08.05,Wednesday,10:17,50,2
2020.08.05,Wednesday,10:17,55,2
2020.08.05,Wednesday,10:17,45,2
2020.08.05,Wednesday,10:18,96,1
2020.08.05,Wednesday,10:18,79,1
2020.08.05,Wednesday,10:18,50,2
2020.08.05,Wednesday,10:18,55,1
2020.08.05,Wednesday,10:18,63,2
2020.08.05,Wednesday,10:18,86,1
2020.08.05,Wednesday,10:18,108,1
2020.08.05,Wednesday,10:18,67,2
2020.08.05,Wednesday,10:18,105,1
2020.08.05,Wednesday,10:18,72,2
2020.08.05,Wednesday,10:19,53,1
2020.08.05,Wednesday,10:19,64,2
2020.08.05,Wednesday,10:20,98,1
2020.08.05,Wednesday,10:20,72,2
2020.08.05,Wednesday,10:20,112,1
2020.08.05,Wednesday,10:20,68,2
2020.08.05,Wednesday,10:21,63,2
2020.08.05,Wednesday,10:21,89,1
2020.08.05,Wednesday,10:21,83,1
2020.08.05,Wednesday,10:21,75,1
2020.08.05,Wednesday,10:21,109,1
2020.08.05,Wednesday,10:21,59,2
2020.08.05,Wednesday,10:21,64,2
2020.08.05,Wednesday,10:22,80,1
2020.08.05,Wednesday,10:22,82,1
2020.08.05,Wednesday,10:22,80,2
2020.08.05,Wednesday,10:22,123,1
2020.08.05,Wednesday,10:22,73,2
2020.08.05,Wednesday,10:23,116,1
2020.08.05,Wednesday,10:23,145,1
2020.08.05,Wednesday,10:23,71,2
2020.08.05,Wednesday,10:23,71,1
2020.08.05,Wednesday,10:23,82,1
2020.08.05,Wednesday,10:24,63,1
2020.08.05,Wednesday,10:24,73,2
2020.08.05,Wednesday,10:24,86,1
2020.08.05,Wednesday,10:24,78,1
2020.08.05,Wednesday,10:24,70,1
2020.08.05,Wednesday,10:25,67,2
2020.08.05,Wednesday,10:25,104,1
2020.08.05,Wednesday,10:25,104,1
2020.08.05,Wednesday,10:25,93,2
2020.08.05,Wednesday,10:25,66,2
2020.08.05,Wednesday,10:25,94,1
2020.08.05,Wednesday,10:25,94,1
2020.08.05,Wednesday,10:26,108,1
2020.08.05,Wednesday,10:26,100,1
2020.08.05,Wednesday,10:26,55,2
2020.08.05,Wednesday,10:26,64,2
2020.08.05,Wednesday,10:26,106,1
2020.08.05,Wednesday,10:27,70,1
2020.08.05,Wednesday,10:27,97,1
2020.08.05,Wednesday,10:27,104,1
2020.08.05,Wednesday,10:27,118,2
2020.08.05,Wednesday,10:27,75,2
2020.08.05,Wednesday,10:27,90,1
2020.08.05,Wednesday,10:27,105,1
2020.08.05,Wednesday,10:27,88,1
2020.08.05,Wednesday,10:28,75,1
2020.08.05,Wednesday,10:28,99,1
2020.08.05,Wednesday,10:28,90,1
2020.08.05,Wednesday,10:28,88,1
2020.08.05,Wednesday,10:28,59,2
2020.08.05,Wednesday,10:29,57,2
2020.08.05,Wednesday,10:29,95,1
2020.08.05,Wednesday,10:29,89,1
2020.08.05,Wednesday,10:29,88,1
2020.08.05,Wednesday,10:29,105,1
2020.08.05,Wednesday,10:29,107,2
2020.08.05,Wednesday,10:30,123,2
2020.08.05,Wednesday,10:30,73,1
2020.08.05,Wednesday,10:30,79,2
2020.08.05,Wednesday,10:30,79,2
2020.08.05,Wednesday,10:31,74,2
2020.08.05,Wednesday,10:31,66,1
2020.08.05,Wednesday,10:31,82,2
2020.08.05,Wednesday,10:31,87,2
2020.08.05,Wednesday,10:31,71,2
2020.08.05,Wednesday,10:31,83,1
2020.08.05,Wednesday,10:32,48,2
2020.08.05,Wednesday,10:32,71,2
2020.08.05,Wednesday,10:32,64,2
2020.08.05,Wednesday,10:32,95,1
2020.08.05,Wednesday,10:32,111,1
2020.08.05,Wednesday,10:32,125,1
2020.08.05,Wednesday,10:32,92,2
2020.08.05,Wednesday,10:33,54,2
2020.08.05,Wednesday,10:33,69,1
2020.08.05,Wednesday,10:33,73,1
2020.08.05,Wednesday,10:33,50,2
2020.08.05,Wednesday,10:34,56,2
2020.08.05,Wednesday,10:34,96,1
2020.08.05,Wednesday,10:34,81,1
2020.08.05,Wednesday,10:34,81,1
2020.08.05,Wednesday,10:34,113,1
2020.08.05,Wednesday,10:34,98,1
2020.08.05,Wednesday,10:34,108,1
2020.08.05,Wednesday,10:34,111,1
2020.08.05,Wednesday,10:35,67,2
2020.08.05,Wednesday,10:35,61,2
2020.08.05,Wednesday,10:35,60,2
2020.08.05,Wednesday,10:35,61,2
2020.08.05,Wednesday,10:35,78,1
2020.08.05,Wednesday,10:36,82,1
2020.08.05,Wednesday,10:36,60,2
2020.08.05,Wednesday,10:36,58,2
2020.08.05,Wednesday,10:36,106,1
2020.08.05,Wednesday,10:36,66,2
2020.08.05,Wednesday,10:37,68,2
2020.08.05,Wednesday,10:37,55,1
2020.08.05,Wednesday,10:37,92,2
2020.08.05,Wednesday,10:37,130,1
2020.08.05,Wednesday,10:37,73,2
2020.08.05,Wednesday,10:37,90,1
2020.08.05,Wednesday,10:37,102,2
2020.08.05,Wednesday,10:37,69,1
2020.08.05,Wednesday,10:37,82,1
2020.08.05,Wednesday,10:37,86,1
2020.08.05,Wednesday,10:37,72,1
2020.08.05,Wednesday,10:37,95,1
2020.08.05,Wednesday,10:38,95,1
2020.08.05,Wednesday,10:38,86,1
2020.08.05,Wednesday,10:38,84,1
2020.08.05,Wednesday,10:39,73,2
2020.08.05,Wednesday,10:39,77,2
2020.08.05,Wednesday,10:39,96,1
2020.08.05,Wednesday,10:39,71,2
2020.08.05,Wednesday,10:39,75,1
2020.08.05,Wednesday,10:39,121,2
2020.08.05,Wednesday,10:40,68,2
2020.08.05,Wednesday,10:40,65,2
2020.08.05,Wednesday,10:40,96,1
2020.08.05,Wednesday,10:40,59,2
2020.08.05,Wednesday,10:40,96,1
2020.08.05,Wednesday,10:40,63,2
2020.08.05,Wednesday,10:41,119,1
2020.08.05,Wednesday,10:41,68,2
2020.08.05,Wednesday,10:41,68,2
2020.08.05,Wednesday,10:41,52,2
2020.08.05,Wednesday,10:41,87,1
2020.08.05,Wednesday,10:41,74,1
2020.08.05,Wednesday,10:41,72,1
2020.08.05,Wednesday,10:41,74,1
2020.08.05,Wednesday,10:41,84,1
2020.08.05,Wednesday,10:41,66,2
2020.08.05,Wednesday,10:41,67,2
2020.08.05,Wednesday,10:42,98,1
2020.08.05,Wednesday,10:42,94,1
2020.08.05,Wednesday,10:42,115,1
2020.08.05,Wednesday,10:42,82,1
2020.08.05,Wednesday,10:42,63,2
2020.08.05,Wednesday,10:42,85,2
2020.08.05,Wednesday,10:42,67,2
2020.08.05,Wednesday,10:43,68,2
2020.08.05,Wednesday,10:43,77,2
2020.08.05,Wednesday,10:43,59,2
2020.08.05,Wednesday,10:43,86,1
2020.08.05,Wednesday,10:43,91,1
2020.08.05,Wednesday,10:43,91,1
2020.08.05,Wednesday,10:44,82,2
2020.08.05,Wednesday,10:44,117,1
2020.08.05,Wednesday,10:44,70,2
2020.08.05,Wednesday,10:44,64,2
2020.08.05,Wednesday,10:44,120,1
2020.08.05,Wednesday,10:44,64,2
2020.08.05,Wednesday,10:45,78,1
2020.08.05,Wednesday,10:45,87,1
2020.08.05,Wednesday,10:45,61,2
2020.08.05,Wednesday,10:45,56,2
2020.08.05,Wednesday,10:45,107,1
2020.08.05,Wednesday,10:45,50,2
2020.08.05,Wednesday,10:45,66,1
2020.08.05,Wednesday,10:46,84,1
2020.08.05,Wednesday,10:46,83,2
2020.08.05,Wednesday,10:46,86,2
2020.08.05,Wednesday,10:46,85,1
2020.08.05,Wednesday,10:46,79,1
2020.08.05,Wednesday,10:46,62,2
2020.08.05,Wednesday,10:46,53,2
2020.08.05,Wednesday,10:46,74,1
2020.08.05,Wednesday,10:46,93,1
2020.08.05,Wednesday,10:46,65,2
2020.08.05,Wednesday,10:47,58,2
2020.08.05,Wednesday,10:47,57,2
2020.08.05,Wednesday,10:47,53,2
2020.08.05,Wednesday,10:47,74,2
2020.08.05,Wednesday,10:47,98,1
2020.08.05,Wednesday,10:47,54,2
