Date,Day,Time,Speed,Direction
2020.08.05,Wednesday,11:59,87,1
2020.08.05,Wednesday,11:59,62,2
2020.08.05,Wednesday,11:59,65,2
2020.08.05,Wednesday,11:59,90,1
2020.08.05,Wednesday,11:59,88,1
2020.08.05,Wednesday,11:59,101,1
2020.08.05,Wednesday,11:59,59,2
2020.08.05,Wednesday,11:59,73,2
2020.08.05,Wednesday,11:59,48,1
2020.08.05,Wednesday,12:00,103,1
2020.08.05,Wednesday,12:00,77,2
2020.08.05,Wednesday,12:00,120,1
2020.08.05,Wednesday,12:00,105,1
2020.08.05,Wednesday,12:00,128,1
2020.08.05,Wednesday,12:00,54,2
2020.08.05,Wednesday,12:00,86,2
2020.08.05,Wednesday,12:01,53,2
2020.08.05,Wednesday,12:01,81,1
2020.08.05,Wednesday,12:01,75,2
2020.08.05,Wednesday,12:01,64,2
2020.08.05,Wednesday,12:01,66,2
2020.08.05,Wednesday,12:01,110,1
2020.08.05,Wednesday,12:02,87,2
2020.08.05,Wednesday,12:02,78,1
2020.08.05,Wednesday,12:02,62,2
2020.08.05,Wednesday,12:02,58,2
2020.08.05,Wednesday,12:02,63,2
2020.08.05,Wednesday,12:02,73,2
2020.08.05,Wednesday,12:02,80,1
2020.08.05,Wednesday,12:02,60,1
2020.08.05,Wednesday,12:02,77,2
2020.08.05,Wednesday,12:02,88,1
2020.08.05,Wednesday,12:03,76,2
2020.08.05,Wednesday,12:03,102,1
2020.08.05,Wednesday,12:03,85,1
2020.08.05,Wednesday,12:03,91,1
2020.08.05,Wednesday,12:03,80,1
2020.08.05,Wednesday,12:03,84,1
2020.08.05,Wednesday,12:03,72,1
2020.08.05,Wednesday,12:03,77,1
2020.08.05,Wednesday,12:03,66,2
2020.08.05,Wednesday,12:04,73,1
2020.08.05,Wednesday,12:04,82,2
2020.08.05,Wednesday,12:04,74,1
2020.08.05,Wednesday,12:04,98,1
2020.08.05,Wednesday,12:04,71,2
2020.08.05,Wednesday,12:04,83,2
