Date,Day,Time,Speed,Direction
2020.08.02,Sunday,09:27,63,2
2020.08.02,Sunday,09:27,72,1
2020.08.02,Sunday,09:27,70,2
2020.08.02,Sunday,09:27,53,2
2020.08.02,Sunday,09:27,89,1
2020.08.02,Sunday,09:28,92,2
2020.08.02,Sunday,09:28,187,1
2020.08.02,Sunday,09:29,62,1
2020.08.02,Sunday,09:29,108,1
2020.08.02,Sunday,09:30,69,2
2020.08.02,Sunday,09:30,62,2
2020.08.02,Sunday,09:30,55,2
2020.08.02,Sunday,09:30,57,2
2020.08.02,Sunday,09:31,48,1
2020.08.02,Sunday,09:31,59,1
2020.08.02,Sunday,09:31,72,1
2020.08.02,Sunday,09:31,69,2
2020.08.02,Sunday,09:31,102,1
2020.08.02,Sunday,09:32,100,1
2020.08.02,Sunday,09:32,88,2
2020.08.02,Sunday,09:32,52,2
2020.08.02,Sunday,09:33,75,1
2020.08.02,Sunday,09:33,79,2
2020.08.02,Sunday,09:34,74,1
2020.08.02,Sunday,09:34,63,2
2020.08.02,Sunday,09:34,62,1
2020.08.02,Sunday,09:35,67,2
2020.08.02,Sunday,09:35,118,1
2020.08.02,Sunday,09:35,71,2
2020.08.02,Sunday,09:35,71,2
2020.08.02,Sunday,09:35,91,1
2020.08.02,Sunday,09:36,76,2
2020.08.02,Sunday,09:36,72,2
2020.08.02,Sunday,09:37,120,2
2020.08.02,Sunday,09:38,66,2
2020.08.02,Sunday,09:38,107,2
2020.08.02,Sunday,09:39,100,1
2020.08.02,Sunday,09:39,78,2
2020.08.02,Sunday,09:39,100,1
2020.08.02,Sunday,09:40,81,2
2020.08.02,Sunday,09:40,86,2
2020.08.02,Sunday,09:41,83,2
2020.08.02,Sunday,09:42,119,1
2020.08.02,Sunday,09:42,93,1
2020.08.02,Sunday,09:43,91,1
2020.08.02,Sunday,09:43,93,1
2020.08.02,Sunday,09:43,81,1
2020.08.02,Sunday,09:43,80,1
2020.08.02,Sunday,09:44,105,1
2020.08.02,Sunday,09:44,101,1
2020.08.02,Sunday,09:44,65,2
2020.08.02,Sunday,09:44,64,2
2020.08.02,Sunday,09:44,52,2
2020.08.02,Sunday,09:44,79,1
2020.08.02,Sunday,09:45,217,1
2020.08.02,Sunday,09:45,68,1
2020.08.02,Sunday,09:45,77,2
2020.08.02,Sunday,09:45,57,2
2020.08.02,Sunday,09:45,83,1
2020.08.02,Sunday,09:45,71,2
2020.08.02,Sunday,09:45,65,2
2020.08.02,Sunday,09:46,79,2
2020.08.02,Sunday,09:46,185,2
2020.08.02,Sunday,09:47,215,2
2020.08.02,Sunday,09:47,78,1
2020.08.02,Sunday,09:47,75,2
2020.08.02,Sunday,09:47,68,2
2020.08.02,Sunday,09:47,79,2
2020.08.02,Sunday,09:48,57,2
2020.08.02,Sunday,09:49,98,1
2020.08.02,Sunday,09:49,72,1
2020.08.02,Sunday,09:49,87,2
2020.08.02,Sunday,09:49,100,1
