Date,Day,Time,Speed,Direction
2020.08.02,Sunday,15:40,83,1
2020.08.02,Sunday,15:40,68,2
2020.08.02,Sunday,15:40,83,1
2020.08.02,Sunday,15:40,103,1
2020.08.02,Sunday,15:40,98,1
2020.08.02,Sunday,15:40,65,2
2020.08.02,Sunday,15:41,118,1
2020.08.02,Sunday,15:41,52,2
2020.08.02,Sunday,15:42,89,1
2020.08.02,Sunday,15:42,84,1
2020.08.02,Sunday,15:42,81,1
2020.08.02,Sunday,15:43,78,1
2020.08.02,Sunday,15:43,92,1
2020.08.02,Sunday,15:43,81,2
2020.08.02,Sunday,15:43,93,1
2020.08.02,Sunday,15:43,88,2
2020.08.02,Sunday,15:43,97,1
2020.08.02,Sunday,15:44,70,1
2020.08.02,Sunday,15:44,98,1
2020.08.02,Sunday,15:44,59,2
2020.08.02,Sunday,15:44,115,1
2020.08.02,Sunday,15:44,74,2
2020.08.02,Sunday,15:44,83,2
2020.08.02,Sunday,15:44,70,1
2020.08.02,Sunday,15:44,75,2
2020.08.02,Sunday,15:45,63,2
2020.08.02,Sunday,15:45,80,1
2020.08.02,Sunday,15:45,93,1
2020.08.02,Sunday,15:46,62,1
2020.08.02,Sunday,15:46,113,1
2020.08.02,Sunday,15:46,122,1
2020.08.02,Sunday,15:47,59,2
2020.08.02,Sunday,15:47,67,2
2020.08.02,Sunday,15:47,55,2
2020.08.02,Sunday,15:47,63,2
2020.08.02,Sunday,15:47,85,2
2020.08.02,Sunday,15:48,81,1
2020.08.02,Sunday,15:48,106,1
2020.08.02,Sunday,15:48,45,2
2020.08.02,Sunday,15:48,112,1
2020.08.02,Sunday,15:48,80,1
2020.08.02,Sunday,15:49,55,2
2020.08.02,Sunday,15:49,49,2
2020.08.02,Sunday,15:49,80,1
2020.08.02,Sunday,15:49,63,2
2020.08.02,Sunday,15:49,81,2
2020.08.02,Sunday,15:50,102,1
2020.08.02,Sunday,15:50,101,1
2020.08.02,Sunday,15:50,98,1
2020.08.02,Sunday,15:50,72,2
2020.08.02,Sunday,15:51,77,2
2020.08.02,Sunday,15:51,67,2
2020.08.02,Sunday,15:51,70,2
2020.08.02,Sunday,15:51,120,1
2020.08.02,Sunday,15:51,106,1
2020.08.02,Sunday,15:52,162,2
2020.08.02,Sunday,15:52,68,2
2020.08.02,Sunday,15:52,88,1
2020.08.02,Sunday,15:52,88,1
2020.08.02,Sunday,15:52,59,2
2020.08.02,Sunday,15:53,83,2
2020.08.02,Sunday,15:53,73,2
2020.08.02,Sunday,15:53,75,2
2020.08.02,Sunday,15:53,82,1
2020.08.02,Sunday,15:53,63,2
2020.08.02,Sunday,15:54,98,1
2020.08.02,Sunday,15:54,100,1
2020.08.02,Sunday,15:54,68,2
2020.08.02,Sunday,15:54,37,2
2020.08.02,Sunday,15:55,70,2
2020.08.02,Sunday,15:55,92,1
2020.08.02,Sunday,15:55,82,1
2020.08.02,Sunday,15:56,51,2
2020.08.02,Sunday,15:56,69,2
2020.08.02,Sunday,15:56,101,1
2020.08.02,Sunday,15:56,97,1
2020.08.02,Sunday,15:56,90,2
2020.08.02,Sunday,15:56,98,1
2020.08.02,Sunday,15:57,115,1
2020.08.02,Sunday,15:58,171,2
2020.08.02,Sunday,15:58,67,2
2020.08.02,Sunday,15:58,55,2
2020.08.02,Sunday,15:58,107,1
2020.08.02,Sunday,15:59,82,2
2020.08.02,Sunday,15:59,128,1
2020.08.02,Sunday,16:00,154,1
2020.08.02,Sunday,16:00,132,1
2020.08.02,Sunday,16:00,111,1
2020.08.02,Sunday,16:00,56,2
2020.08.02,Sunday,16:00,90,1
2020.08.02,Sunday,16:01,60,1
2020.08.02,Sunday,16:01,54,2
2020.08.02,Sunday,16:01,72,2
2020.08.02,Sunday,16:01,78,2
2020.08.02,Sunday,16:01,111,1
2020.08.02,Sunday,16:01,91,1
2020.08.02,Sunday,16:02,95,1
2020.08.02,Sunday,16:02,99,1
2020.08.02,Sunday,16:02,90,1
2020.08.02,Sunday,16:02,92,1
2020.08.02,Sunday,16:02,64,2
2020.08.02,Sunday,16:02,111,1
2020.08.02,Sunday,16:02,77,2
2020.08.02,Sunday,16:03,89,2
2020.08.02,Sunday,16:03,103,1
2020.08.02,Sunday,16:03,107,1
2020.08.02,Sunday,16:03,77,1
2020.08.02,Sunday,16:04,105,1
2020.08.02,Sunday,16:04,73,2
2020.08.02,Sunday,16:04,88,1
2020.08.02,Sunday,16:04,102,1
2020.08.02,Sunday,16:05,69,2
2020.08.02,Sunday,16:05,88,1
2020.08.02,Sunday,16:05,63,2
2020.08.02,Sunday,16:06,73,2
2020.08.02,Sunday,16:06,103,1
2020.08.02,Sunday,16:07,77,2
2020.08.02,Sunday,16:07,62,1
2020.08.02,Sunday,16:07,76,2
2020.08.02,Sunday,16:07,68,2
2020.08.02,Sunday,16:07,89,1
2020.08.02,Sunday,16:08,93,1
2020.08.02,Sunday,16:08,57,2
2020.08.02,Sunday,16:08,54,2
2020.08.02,Sunday,16:08,67,2
2020.08.02,Sunday,16:08,83,1
2020.08.02,Sunday,16:08,77,2
2020.08.02,Sunday,16:09,68,1
2020.08.02,Sunday,16:09,88,1
2020.08.02,Sunday,16:09,121,1
2020.08.02,Sunday,16:09,78,2
2020.08.02,Sunday,16:09,78,1
2020.08.02,Sunday,16:09,91,1
2020.08.02,Sunday,16:10,87,2
2020.08.02,Sunday,16:10,71,2
2020.08.02,Sunday,16:10,78,1
2020.08.02,Sunday,16:10,89,1
2020.08.02,Sunday,16:10,102,2
2020.08.02,Sunday,16:10,61,2
2020.08.02,Sunday,16:10,74,2
2020.08.02,Sunday,16:10,57,2
2020.08.02,Sunday,16:11,108,1
2020.08.02,Sunday,16:11,51,2
2020.08.02,Sunday,16:11,117,1
2020.08.02,Sunday,16:11,113,1
2020.08.02,Sunday,16:11,76,2
2020.08.02,Sunday,16:12,70,2
2020.08.02,Sunday,16:12,129,2
2020.08.02,Sunday,16:13,101,1
2020.08.02,Sunday,16:13,95,1
2020.08.02,Sunday,16:13,53,2
2020.08.02,Sunday,16:13,64,2
2020.08.02,Sunday,16:14,98,1
2020.08.02,Sunday,16:14,80,2
2020.08.02,Sunday,16:14,77,1
2020.08.02,Sunday,16:14,92,1
2020.08.02,Sunday,16:14,102,1
2020.08.02,Sunday,16:15,103,1
2020.08.02,Sunday,16:15,57,2
2020.08.02,Sunday,16:15,76,2
2020.08.02,Sunday,16:15,61,2
2020.08.02,Sunday,16:15,98,1
2020.08.02,Sunday,16:16,99,1
2020.08.02,Sunday,16:16,72,2
2020.08.02,Sunday,16:16,65,2
2020.08.02,Sunday,16:16,63,2
2020.08.02,Sunday,16:16,68,2
2020.08.02,Sunday,16:17,89,1
2020.08.02,Sunday,16:17,37,2
2020.08.02,Sunday,16:17,49,1
2020.08.02,Sunday,16:17,37,2
2020.08.02,Sunday,16:17,96,1
2020.08.02,Sunday,16:18,58,2
2020.08.02,Sunday,16:18,57,2
2020.08.02,Sunday,16:18,63,2
2020.08.02,Sunday,16:18,81,2
2020.08.02,Sunday,16:18,58,2
2020.08.02,Sunday,16:18,48,2
2020.08.02,Sunday,16:18,123,1
2020.08.02,Sunday,16:19,109,1
2020.08.02,Sunday,16:19,147,2
2020.08.02,Sunday,16:19,73,2
2020.08.02,Sunday,16:19,114,1
2020.08.02,Sunday,16:20,105,1
2020.08.02,Sunday,16:20,83,2
2020.08.02,Sunday,16:20,102,1
2020.08.02,Sunday,16:21,54,2
2020.08.02,Sunday,16:21,90,2
2020.08.02,Sunday,16:21,70,2
2020.08.02,Sunday,16:22,111,1
2020.08.02,Sunday,16:22,86,1
2020.08.02,Sunday,16:23,73,2
2020.08.02,Sunday,16:23,79,2
2020.08.02,Sunday,16:23,72,1
2020.08.02,Sunday,16:23,83,1
2020.08.02,Sunday,16:23,63,2
2020.08.02,Sunday,16:23,178,2
2020.08.02,Sunday,16:23,82,1
2020.08.02,Sunday,16:23,80,1
2020.08.02,Sunday,16:24,89,1
2020.08.02,Sunday,16:24,67,1
2020.08.02,Sunday,16:24,83,1
2020.08.02,Sunday,16:24,69,2
2020.08.02,Sunday,16:24,83,1
2020.08.02,Sunday,16:25,79,1
2020.08.02,Sunday,16:27,88,1
2020.08.02,Sunday,16:27,65,2
2020.08.02,Sunday,16:27,70,2
2020.08.02,Sunday,16:27,58,2
2020.08.02,Sunday,16:27,46,2
